Issuer,"Certificate",Workload (h),Conclusion,File,"Keywords"
Instituto do Legislativo Potiguar,Redação Oficial e Legislativa,24,2015-12-07,20151207-redacao-oficial-e-legislativa.pdf,official newsroom
Associação Brasileira de Educação à Distância,Espanhol introdutório para Intercambistas,3,2015-11-04,20151104-espanhol-para-intercambistas.pdf,Spanish
Instituto do Legislativo Potiguar,Administração do Tempo,8,2015-09-29,20150928-Administracao-do-tempo.pdf,time management
Instituto do Legislativo Potiguar,"Protocolo",16,2015-09-14,20150914-protocolo.pdf,"protocol"
Microsoft,MS Roadshow Natal – Computação em Nuvem,6,2015-06-09,20150609-MS-Roadshow-Natal.pdf,"Cloud"
IETEC,Certificação PMP – Processo e pré-requisito,2,2015-02-22,20150222-pmp--processos-e-pre-requisitos.pdf,process
Escola de Governo,Elaboração de Projetos,16,2014-10-09,20141009-Elaboracao-de-projetos.pdf,project development
Escola de Governo,Uso e Tendências da Computação em Nuvem,3,2014-10-01,20141001-uso-e-tendencias-da-computacao-em-nuvem.pdf,"cloud"
SEBRAE,MEI – Microempreendedor Individual,5,2014-07-22,20140722-sebrae_MEI_EAD.pdf,MEI
ENAP,Elaboração de Dados Abertos,20,2014-04-14,20140414-ElaboracaodePlanodeDadosAbertos.pdf,"open data plan"
UnP,Curso superior de tecnologia em gestão pública,1600,2014-01-29,20140124_UnP.pdf,"gestão pública"
Microsoft Virtual Academy,Introdução ao Active Directory,4,2013-04-28,20130428_mva_introducao_active_directory.pdf,"Active Directory,Windows Server"
Fundação Bradesco,Segurança da Informação,23,2013-04-01,20130401_fundacao_bradesco-seguranca_da_informacao.pdf,security
Fundação Bradesco,Gestão Estratégica de TI – ITIL,42,2013-04-01,20130325_gestao_estrategica_de_TI-ITIL.pdf,ITIL
Instituto do Legislativo Potiguar,Atualização em Direito Eleitoral,8,2012-09-08,20120908-atualizacao-direito-eleitoral.pdf,election law
Instituto Legislativo Potiguar,Segurança Eletrônica e Certificação Digital,8,2012-06-03,20120903_certificado-segurancaeletronica.pdf,security
ITECI,SQL Server,60,2002-11-19,20020903_certificado-sqlserver-iteci.pdf,"SQL Server, Database"
SENAI,Freehand 8,16,1999-07-02,19990702_certificado-freehand8-cti.pdf,Freehand
SENAI,CorelDraw 8,32,1999-06-02,19990602_certificado-coreldraw-cti.pdf,"CorelDraw"
UFPE,Java para internet usando Banco de Dados,12,1998-11-22,19981122_certificado-jornadajava-ufpe.pdf,"Java"
Data Control,Pagemaker / CorelDraw,120,1995-05-20,19950520_certificado-pagemaker-coreldraw-datacontrol.pdf,"Pagemaker, CorelDraw"
Atos Corporate University,Empresas mudam então prepare-se,1, 2022-03-18, 20220318_Empresas_mudam_entao_prepare-se.pdf,"change, adaptation"
ACONSULT,Construção de Indicadores de desempenho monitoramento e avaliação de resultados na Administração Pública,24, 2015-10-21 ,20151019-construcao-de-indicadores-de-desempenho-monitoramento-e-avaliacao-de-resultados-na-administracao-publica.pdf,construction of indicators
